id,Restaurant,Adress,Time,Price,City
134,"Cô Lan - Sinh Tố, Nước Ép & Trà Đào","644/4/5 Đường 3 Tháng 2, P. 14, Quận 10, TP. HCM",Đã đóng,18.000 - 30.000,HCM
135,"Trà Đào, Trà Vải & Trà Trái Cây","115/54 Lê Trọng Tấn, P. Sơn Kỳ, Tân Phú, TP. HCM",Đã đóng,25.000 - 30.000,HCM
136,Anh Hàng Xóm Coffee,"451/2/23 Tô Hiến Thành, P. 14, Quận 10, TP. HCM",Đã đóng,20.000 - 59.000,HCM
137,Ốc Chun - Ăn Vặt Hà Nội,"Đối Diện MM4 Trường Sơn, Cư Xá Bắc Hải, Đồng Nai, P. 15, Quận 10, TP. HCM",Đã đóng,5.000 - 95.000,HCM
138,Cô Ba Sài Gòn Detox - Nước Ép & Sinh Tố,"1347 Hoàng Sa, P. 5, Tân Bình, TP. HCM",Đã đóng,25.000 - 43.000,HCM
139,Cơm Tấm Cô Hai - Nguyễn Văn Nguyễn,"212/299 Nguyễn Văn Nguyễn, P. Tân Định, Quận 1, TP. HCM",Đã đóng,7.000 - 55.000,HCM
140,Nhà Hàng Hải Sản Hải Châu,"67 Nguyễn Hữu Cảnh, P. 22, Bình Thạnh, TP. HCM",Đã đóng,32.000 - 236.000,HCM
141,"Rau Má Đậu Xanh, Sinh Tố & Nước Ép 119 - Yersin","119/2 Yersin, P. Phạm Ngũ Lão, Quận 1, TP. HCM",Đã đóng,13.000 - 35.000,HCM
142,"Robi - Trái Cây, Nước Ép & Đồ Ăn Vặt","12AB Thanh Đa, P. 27, Bình Thạnh, TP. HCM",Đã đóng,1.000 - 200.000,HCM
143,Vân - Food & Drink,"67 Trúc Đường, P. Thảo Điền, Quận 2, TP. HCM",Đã đóng,15.000 - 150.000,HCM
144,PM Quán - Trà Sữa & Ăn Vặt,"7 Đường số 7 ( Đối Diện Chung Cư Moonlight), P. An Lạc A, Bình Tân, TP. HCM",Đã đóng,10.000 - 30.000,HCM
145,Sữa Chua Dẻo Xắt Miếng - Chung Cư Topaz - Shop Online,"A2 Chung Cư Topaz City, 39 Cao Lỗ, P. 4, Quận 8, TP. HCM",Đã đóng,5.000 - 30.000,HCM
146,Garden - Coffee & Beer,"331 Nguyễn Thượng Hiền, P. 11, Quận 10, TP. HCM",Đã đóng,18.000 - 45.000,HCM
147,Hai Gầy - Bánh Mì Phá Lấu,"194A Độc Lập, P. Tân Thành, Tân Phú, TP. HCM",Đã đóng,15.000 - 65.000,HCM
148,Bami HP - Bánh Mì 3 Nhân,"449/38 Lê Văn Việt, P. Tăng Nhơn Phú A, Quận 9, TP. HCM",Đã đóng,15.000 - 35.000,HCM
149,Tà Tưa - Trà Sữa & Ăn Vặt,"130 Huỳnh Thiện Lộc, P. Hòa Thạnh, Tân Phú, TP. HCM",Đã đóng,10.000 - 30.000,HCM
150,Tiệm Sữa Chua Pucca - Fresh Yogurt,"2 Đường số 5, P. Linh Trung, Thành Phố Thủ Đức, TP. HCM",Đã đóng,15.000 - 25.000,HCM
151,"Lynh - Sinh Tố, Nước Ép & Ăn Vặt","487 Lạc Long Quân, P. 5, Quận 11, TP. HCM",Đã đóng,10.000 - 33.000,HCM
152,Cơm Gà Xối Mỡ - Shop Online - Lê Đức Thọ,"1396/33/33 Lê Đức Thọ, P. 13, Gò Vấp, TP. HCM",Đã đóng,5.000 - 50.000,HCM
153,Hoàng Diệu - Hủ Tiếu Nam Vang,"523 Lê Văn Thọ, P. 9, Gò Vấp, TP. HCM",Đã đóng,45.000 - 65.000,HCM
154,Ruby - Bò Lá Lốt & Ăn Vặt,"71/37/4 Điện Biên Phủ, P. 15, Bình Thạnh, TP. HCM",Đã đóng,8.000 - 35.000,HCM
155,Phở Nhị - Lê Thị Hồng,"32 Lê Thị Hồng, P. 17, Gò Vấp, TP. HCM",Đã đóng,30.000 - 40.000,HCM
156,Xôi Hoa Thị - Huỳnh Tấn Phát,"615 Huỳnh Tấn Phát, P. Tân Thuận Đông, Quận 7, TP. HCM",Đã đóng,3.000 - 20.000,HCM
